央视,#genre#
CCTV13,http://183.186.88.244:8899/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0,0.82
CCTV13,http://183.215.134.239:19901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0,0.82
CCTV13,http://36.44.159.138:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0,0.69
CCTV13,http://123.52.109.89:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0,0.60
CCTV13,http://123.159.125.38:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0,0.01
CCTV13,http://36.44.159.108:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV13,http://125.42.150.152:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV13,http://183.186.88.251:8899/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV13,http://221.13.235.164:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV13,http://116.11.156.101:8811/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&authid=0,1.45
CCTV13,http://119.125.134.172:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV14,http://221.13.234.108:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0,1.45
CCTV14,http://221.13.234.34:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0,1.44
CCTV14,http://221.13.235.164:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0,0.78
CCTV14,http://125.42.150.152:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV14,http://36.44.159.138:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0,0.62
CCTV14,http://123.159.125.38:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0,0.01
CCTV14,http://36.44.159.108:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV14,http://119.125.134.172:9901/tsfile/live/0014_2.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV14,http://123.52.109.89:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV14,http://183.131.246.250:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV14,http://218.92.37.174:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV14,http://183.186.88.251:8899/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV14,http://183.186.88.244:8899/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV14,http://175.0.78.209:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV14,http://116.11.156.101:8811/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0,1.11
CCTV15,http://221.13.234.34:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0,1.33
CCTV15,http://221.13.234.108:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0,1.33
CCTV15,http://125.42.150.152:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV15,http://221.13.235.164:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV15,http://183.186.88.251:8899/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0,1.49
CCTV15,http://218.92.37.174:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0,1.47
CCTV15,http://211.141.56.169:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0,1.05
CCTV15,http://183.186.88.244:8899/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0,0.78
CCTV15,http://175.0.78.209:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0,0.78
CCTV15,http://36.44.159.138:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0,0.61
CCTV15,http://123.52.109.89:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0,0.43
CCTV15,http://123.159.125.38:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0,0.01
CCTV15,http://36.44.159.108:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV15,http://183.131.246.250:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV15,http://116.11.156.101:8811/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV15,http://119.125.134.172:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0,0.69
CCTV17,http://116.11.156.101:8811/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0,1.33
CCTV17,http://36.44.159.138:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV17,http://119.125.134.172:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0,0.61
CCTV世界地理,http://211.141.56.169:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0,1.02
CCTV世界地理,http://119.125.134.172:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
